"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.651762291315967E9,"2022-05-05 16:51:31.316 UTC+02:00"
"PAUSE",9.006104726250051E2,1.651763192012905E9,"2022-05-05 17:06:32.013 UTC+02:00"
