"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.651757081175132E9,"2022-05-05 15:24:41.175 UTC+02:00"
"PAUSE",5.744817109583237E2,1.651757655637191E9,"2022-05-05 15:34:15.637 UTC+02:00"
