"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.651747079331680E9,"2022-05-05 12:37:59.332 UTC+02:00"
"PAUSE",3.458478532083391E2,1.651747425185852E9,"2022-05-05 12:43:45.186 UTC+02:00"
