"event","experiment time","system time","system time text"
"START",0.000000000E0,1651766693.911,"2022-05-05 18:04:53.911 UTC+02:00"
"PAUSE",2.141903177E3,1651768835.814,"2022-05-05 18:40:35.814 UTC+02:00"
