"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.651661451225754E9,"2022-05-04 12:50:51.226 UTC+02:00"
"PAUSE",9.006244347500033E2,1.651662351842244E9,"2022-05-04 13:05:51.842 UTC+02:00"
