"event","experiment time","system time","system time text"
"START",0.000000000E0,1651759253.863,"2022-05-05 16:00:53.863 UTC+02:00"
"PAUSE",1.403492614E3,1651760657.355,"2022-05-05 16:24:17.355 UTC+02:00"
