"event","experiment time","system time","system time text"
"START",0.000000000E0,1651653596.283,"2022-05-04 10:39:56.283 UTC+02:00"
"PAUSE",9.000164743E2,1651654496.300,"2022-05-04 10:54:56.300 UTC+02:00"
