"event","experiment time","system time","system time text"
"START",0.000000000E0,1651649527.513,"2022-05-04 09:32:07.513 UTC+02:00"
"PAUSE",8.117007033E2,1651650339.214,"2022-05-04 09:45:39.214 UTC+02:00"
