"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.651664365145452E9,"2022-05-04 13:39:25.145 UTC+02:00"
"PAUSE",9.006231741249940E2,1.651665265754616E9,"2022-05-04 13:54:25.755 UTC+02:00"
