"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.651682205614067E9,"2022-05-04 18:36:45.614 UTC+02:00"
"PAUSE",9.006122124583344E2,1.651683106224814E9,"2022-05-04 18:51:46.225 UTC+02:00"
