"event","experiment time","system time","system time text"
"START",0.000000000E0,1651737661.954,"2022-05-05 10:01:01.954 UTC+02:00"
"PAUSE",9.567974351E2,1651738618.751,"2022-05-05 10:16:58.751 UTC+02:00"
