"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.288502917E-1,1.545755312E-1,-2.462613344E-2,1.139598942E-1,1.936153371E-1
6.388972917E-1,1.297181586E-1,-7.132492125E-2,1.040275213E-1,1.809302912E-1
6.489432917E-1,9.126538843E-2,-1.094224548E-1,1.116677856E-1,1.810313208E-1
6.589902917E-1,6.440415680E-2,-1.205298257E-1,1.113017499E-1,1.762481598E-1
6.690376667E-1,4.647807369E-2,-1.180301410E-1,1.204541042E-1,1.749300339E-1
6.790846667E-1,3.949531049E-2,-1.294409823E-1,1.478538644E-1,2.004385509E-1
6.891316667E-1,5.090147406E-2,-1.155398118E-1,2.134374046E-1,2.479837371E-1
6.991786667E-1,1.438064218E-2,-1.315921730E-1,2.710201997E-1,3.016210395E-1
7.092256667E-1,1.913802819E-3,-2.858697885E-1,3.273917440E-1,4.346384160E-1
7.192726667E-1,6.167323301E-2,-3.436882263E-1,3.997791043E-1,5.307998840E-1
7.293196667E-1,1.332606851E-1,-3.107508606E-1,4.233615097E-1,5.418112914E-1
7.393666667E-1,2.268070632E-1,-2.488791329E-1,3.534595084E-1,4.881760858E-1
7.494136667E-1,2.458368266E-1,-1.852731210E-1,1.944792697E-1,3.641209428E-1
7.594606667E-1,2.374750158E-1,-1.232394254E-1,4.733905792E-3,2.675906369E-1
7.695076667E-1,2.076317042E-1,-8.096814930E-2,-1.817279541E-1,2.875618457E-1
7.795546667E-1,1.647108024E-1,-6.431235552E-2,-3.083190036E-1,3.554241628E-1
7.896016666E-1,1.290565279E-1,-6.062568605E-2,-3.015376952E-1,3.335506601E-1
7.996486667E-1,1.103679496E-1,-4.171462119E-2,-1.805257666E-1,2.156635025E-1
8.096956667E-1,7.005256712E-2,-5.423467934E-2,2.917643666E-2,9.327393559E-2
8.197426667E-1,2.488370786E-2,-6.717105925E-2,2.658158854E-1,2.752984472E-1
8.297896667E-1,1.039927304E-3,-6.762012541E-2,4.641496396E-1,4.690505844E-1
8.398366667E-1,-4.641255747E-2,-4.192336679E-2,5.788223094E-1,5.821915149E-1
8.498836667E-1,-1.177573592E-1,-1.000563848E-1,6.089074033E-1,6.282088042E-1
8.599306667E-1,-1.793811741E-1,-2.116253525E-1,5.594227096E-1,6.244330737E-1
8.699776667E-1,-1.950373864E-1,-2.804213530E-1,4.783779618E-1,5.878105066E-1
8.800246667E-1,-2.032094550E-1,-3.241672969E-1,3.479362285E-1,5.171442140E-1
8.900716667E-1,-1.870898509E-1,-3.519023949E-1,2.388915038E-1,4.646580016E-1
9.001186667E-1,-1.633305672E-1,-3.609492069E-1,1.511630961E-1,4.240418444E-1
9.101656667E-1,-1.137698597E-1,-3.760894024E-1,9.013716817E-2,4.031271867E-1
9.202126666E-1,-6.576918930E-2,-3.548879832E-1,7.910902709E-2,3.694987213E-1
9.302596667E-1,-1.269781808E-2,-3.237568223E-1,8.723168671E-2,3.355429656E-1
9.403066667E-1,1.638798674E-2,-3.021197855E-1,1.176962650E-1,3.246495676E-1
9.503536667E-1,6.014416327E-2,-3.073928046E-1,1.428106409E-1,3.442419729E-1
9.604006667E-1,9.836303115E-2,-2.844512540E-1,1.659404719E-1,3.436917835E-1
9.704476667E-1,1.403896013E-1,-2.298552167E-1,2.174895251E-1,3.461854335E-1
9.804946667E-1,1.227941691E-1,-1.690804267E-1,-1.593249321E-1,2.627756317E-1
9.905416667E-1,1.093496570E-1,-4.592052341E-2,-4.860462928E-1,5.003069465E-1
1.000588667E0,1.602967393E-1,-5.391834497E-2,1.965623403E-1,2.593048133E-1
1.010635667E0,1.376478419E-1,-1.767759472E-1,4.767521435E-1,5.267725033E-1
1.020682667E0,5.308425793E-2,-3.080681580E-1,6.162193465E-1,6.909777214E-1
1.030729667E0,-6.084731380E-2,-3.552306300E-1,6.157267186E-1,7.134497797E-1
1.040776667E0,-1.546524221E-1,-2.847015148E-1,3.657690668E-1,4.886300589E-1
1.050823667E0,-2.303770990E-1,-2.034930450E-1,1.328876236E-1,3.348763169E-1
1.060870667E0,-2.608761393E-1,-1.307671309E-1,1.826611698E-2,2.923868219E-1
1.070917667E0,-2.127266938E-1,-5.395635188E-2,4.408303589E-2,2.238464836E-1
1.080964667E0,-1.173495434E-1,5.416275859E-3,1.372572479E-1,1.806648927E-1
1.091011667E0,3.412124421E-3,8.070619404E-2,2.749229237E-1,2.865444928E-1
1.101058667E0,9.189016342E-2,1.251198900E-1,3.786013663E-1,4.091916220E-1
1.111105667E0,1.374373238E-1,1.509189749E-1,3.430535111E-1,3.991882594E-1
1.121152667E0,1.423577375E-1,1.506248599E-1,2.405184916E-1,3.174944388E-1
1.131199667E0,1.428924654E-1,1.139277345E-1,2.414745113E-1,3.028328334E-1
1.141246667E0,1.739555427E-1,1.015357304E-1,3.672601068E-1,4.188675464E-1
1.151293667E0,1.800328829E-1,4.620762169E-2,3.764150923E-1,4.198038887E-1
1.161340667E0,1.420580677E-1,5.007029235E-2,3.245733860E-1,3.578203623E-1
1.171387667E0,1.050004615E-1,5.609526336E-2,2.906437477E-1,3.140789130E-1
1.181434667E0,1.052756095E-1,5.748397708E-2,2.290342677E-1,2.585421771E-1
1.191481667E0,1.407038891E-1,7.914440274E-2,2.227765775E-1,2.751196546E-1
1.201528667E0,1.655548480E-1,2.637678981E-2,2.473641193E-1,2.988195948E-1
1.211575667E0,1.281388074E-1,-6.985083818E-2,3.077237570E-1,3.405768697E-1
1.221622667E0,1.755059320E-1,-1.474200010E-1,3.389543205E-1,4.091760260E-1
1.231669667E0,1.983852097E-1,-2.014014959E-1,3.322235906E-1,4.362244470E-1
1.241716667E0,1.990330081E-1,-2.152044332E-1,3.376214477E-1,4.471189197E-1
1.251763667E0,1.825912955E-1,-1.875582129E-1,3.455458868E-1,4.334969715E-1
1.261810667E0,1.354326242E-1,-2.037988544E-1,3.571222043E-1,4.329113507E-1
1.271857667E0,8.363477200E-2,-1.873313409E-1,3.274101627E-1,3.863744570E-1
1.281904667E0,3.038096309E-2,-1.512417412E-1,2.789232963E-1,3.187401331E-1
1.291951667E0,2.389172316E-3,-1.461102247E-1,2.204540634E-1,2.644879959E-1
1.301998667E0,3.166296512E-2,-1.923394811E-1,7.778317094E-2,2.098743458E-1
1.312045667E0,6.252076864E-2,-2.227374011E-1,-1.637278855E-2,2.319242647E-1
1.322092667E0,1.216650626E-1,-1.893153012E-1,-5.638762414E-2,2.319961958E-1
1.332139667E0,1.409353658E-1,-1.760169786E-1,-8.267875224E-2,2.401677126E-1
1.342186667E0,1.439309675E-1,-1.820226538E-1,-3.893193126E-2,2.352956973E-1
1.352233667E0,1.689531767E-1,-1.346192765E-1,7.175147563E-2,2.276308410E-1
1.362280667E0,1.803271805E-1,-7.351119518E-2,2.295801052E-1,3.010461968E-1
1.372327667E0,1.857566126E-1,-8.176103175E-2,3.377202657E-1,3.940118822E-1
1.382374667E0,2.032815950E-1,-7.589744389E-2,3.653413430E-1,4.249213171E-1
1.392421667E0,2.484560868E-1,-7.661255836E-2,3.420053977E-1,4.296133182E-1
1.402468667E0,2.899762881E-1,-9.670125246E-2,2.457666600E-1,3.922226804E-1
1.412515667E0,3.036422543E-1,-1.425925398E-1,1.539221048E-1,3.690843608E-1
1.422562667E0,3.226332799E-1,-1.685079843E-1,1.476258230E-1,3.927856383E-1
1.432609667E0,3.463428622E-1,-1.725408089E-1,1.811379701E-1,4.272407672E-1
1.442656667E0,3.765428540E-1,-1.695324165E-1,2.421098113E-1,4.786887526E-1
1.452703667E0,3.837257199E-1,-1.882750815E-1,2.625645411E-1,5.016304144E-1
1.462750667E0,4.066731177E-1,-1.683699900E-1,2.599058121E-1,5.111580082E-1
