"event","experiment time","system time","system time text"
"START",0.000000000E0,1651660948.583,"2022-05-04 12:42:28.583 UTC+02:00"
"PAUSE",3.514121557E2,1651661299.995,"2022-05-04 12:48:19.995 UTC+02:00"
