"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.748004630E-1,5.356999636E-1,5.798000097E-1,-4.205999970E-1,8.944533860E-1
6.847270250E-1,3.624999821E-1,4.991999865E-1,-3.572999835E-1,7.129306711E-1
6.946535880E-1,1.829999983E-1,3.296000063E-1,-3.355999887E-1,5.047301417E-1
7.045785880E-1,8.940000087E-2,2.891999781E-1,-2.379999869E-2,3.036369994E-1
7.145051500E-1,-8.540000021E-2,2.113000005E-1,5.859999731E-2,2.353185287E-1
7.244317130E-1,-2.017000020E-1,2.599999905E-1,1.415999979E-1,3.582365772E-1
7.343582750E-1,-3.315999806E-1,2.295999974E-1,3.048000038E-1,5.055469793E-1
7.442848380E-1,-2.890999913E-1,4.449999705E-2,3.486999869E-1,4.551381500E-1
7.542114000E-1,-4.035999775E-1,1.024999991E-1,3.203999996E-1,5.254096986E-1
7.641379630E-1,-3.765999973E-1,1.133999974E-1,3.595999777E-1,5.329158107E-1
7.740645250E-1,-2.615000010E-1,1.026000008E-1,1.210999936E-1,3.058990342E-1
7.839895250E-1,-2.017000020E-1,9.259999543E-2,3.989999741E-2,2.254986912E-1
7.939160880E-1,-8.959999681E-2,1.519999951E-1,5.659999698E-2,1.852989951E-1
8.038426500E-1,-1.472000033E-1,-1.625999957E-1,-9.779999405E-2,2.401487839E-1
8.137692130E-1,-1.068999991E-1,2.249999903E-2,-1.608999968E-1,1.944805099E-1
8.236942130E-1,-1.399999950E-3,2.076999992E-1,-1.331999898E-1,2.467457942E-1
8.336207750E-1,-6.999999750E-4,2.054999918E-1,-1.978999972E-1,2.852983448E-1
8.435473380E-1,6.749999523E-2,3.037999868E-1,-2.795999944E-1,4.183620899E-1
8.534739000E-1,1.335999966E-1,3.517999947E-1,-2.175000012E-1,4.346474961E-1
8.634004630E-1,2.041999996E-1,4.602999985E-1,-2.199999988E-1,5.495213626E-1
8.733270250E-1,1.627999991E-1,2.078000009E-1,-3.269999921E-1,4.202542979E-1
8.832520250E-1,2.201000005E-1,3.770000041E-1,-3.443999887E-1,5.560434924E-1
8.931785880E-1,2.655999959E-1,3.606999815E-1,-4.435999990E-1,6.304195377E-1
9.031051500E-1,2.929999828E-1,2.768000066E-1,-4.972999990E-1,6.401363313E-1
9.130317130E-1,3.055000007E-1,2.029999942E-1,-5.421000123E-1,6.545316428E-1
9.229582750E-1,2.520000041E-1,1.207999960E-1,-5.246999860E-1,5.944802069E-1
9.328848380E-1,1.277000010E-1,-4.949999973E-2,-5.647000074E-1,5.810711132E-1
9.428114000E-1,2.819999866E-2,-1.703999937E-1,-4.988999963E-1,5.279513274E-1
9.527379630E-1,-4.789999872E-2,-2.712000012E-1,-4.736000001E-1,5.478510844E-1
9.626629630E-1,-1.828999966E-1,-3.231999874E-1,-3.783999979E-1,5.301860042E-1
9.725895250E-1,-2.730000019E-1,-3.161999881E-1,-2.926000059E-1,5.100256827E-1
9.825160880E-1,-3.285999894E-1,-3.484999835E-1,-2.461999953E-1,5.385579163E-1
9.924426500E-1,-4.278999865E-1,-3.709000051E-1,-1.898999959E-1,5.972664570E-1
1.002369213E0,-4.731999934E-1,-3.834999800E-1,-2.023999989E-1,6.418381633E-1
1.012295775E0,-5.033999681E-1,-3.179999888E-1,-1.643999964E-1,6.177077623E-1
1.022220775E0,-5.299000144E-1,-3.893999755E-1,-2.173999995E-1,6.925959327E-1
1.032147338E0,-5.324999690E-1,-4.609999955E-1,-3.182999790E-1,7.729114370E-1
1.042073900E0,-5.805000067E-1,-4.542999864E-1,-3.795000017E-1,8.290892513E-1
1.052000463E0,-5.968999863E-1,-4.967999756E-1,-4.407999814E-1,8.929750461E-1
1.061927025E0,-6.516000032E-1,-5.882999897E-1,-4.531999826E-1,9.879623811E-1
1.071853588E0,-7.494999766E-1,-6.899999976E-1,-4.538999796E-1,1.115291622E0
1.081780150E0,-8.840000033E-1,-7.031999826E-1,-4.258999825E-1,1.207202144E0
1.091705150E0,-1.039199948E0,-7.160999775E-1,-4.271999896E-1,1.332379654E0
1.101631713E0,-1.198699951E0,-7.676999569E-1,-3.701999784E-1,1.470813659E0
1.111558275E0,-1.286299944E0,-8.082000017E-1,-2.777000070E-1,1.544303106E0
1.121484838E0,-1.400599957E0,-8.272999525E-1,-2.172999978E-1,1.641135198E0
1.131411400E0,-1.423799992E0,-1.039899945E0,-2.608999908E-1,1.782320711E0
1.141337963E0,-1.562099934E0,-1.042799950E0,-2.241999954E-1,1.891521498E0
1.151264525E0,-1.424199939E0,-1.109499931E0,-7.979999483E-2,1.807125785E0
1.161189525E0,-1.234499931E0,-1.062299967E0,1.106999964E-1,1.632398784E0
1.171116088E0,-1.056999922E0,-8.292999864E-1,3.441999853E-1,1.386888940E0
1.181042650E0,-7.901999950E-1,-5.072000027E-1,7.433999777E-1,1.197627405E0
1.190969213E0,-2.743999958E-1,-1.859999895E-1,1.104300022E0,1.152983041E0
1.200895775E0,2.421000004E-1,1.586999893E-1,1.350099921E0,1.380785245E0
1.210822338E0,7.160999775E-1,3.680000007E-1,1.770699978E0,1.945148218E0
1.220747338E0,1.427999973E0,6.351999640E-1,1.939999938E0,2.491237178E0
1.230673900E0,2.219300032E0,8.626999855E-1,2.218400002E0,3.254357458E0
1.240600463E0,2.888399839E0,9.872999787E-1,2.550299883E0,3.977643068E0
1.250527025E0,3.363399982E0,1.007799983E0,2.783499956E0,4.480624092E0
